path	domain	latest_status_from_base	legacy_status_from_base	classification
mobile/android/app/build.gradle	native-android	M	M	CAPABILITY_MAPPED
mobile/android/app/src/androidTest/java/com/ombhrum/fabushi/MahayanaFeatureHostTest.kt	native-android	A	A	CAPABILITY_MAPPED
mobile/android/app/src/main/java/com/ombhrum/fabushi/core/MahayanaHost.kt	native-android	M	M	CAPABILITY_MAPPED
mobile/android/app/src/main/res/layout/activity_main.xml	native-android	D	D	CAPABILITY_MAPPED
mobile/android/settings.gradle	native-android	M	M	CAPABILITY_MAPPED
mobile/ios/Fabushi/ContentView.swift	native-ios	M	M	CAPABILITY_MAPPED
mobile/ios/Fabushi/FabushiApp.swift	native-ios	M	M	CAPABILITY_MAPPED
mobile/ios/Fabushi/MahayanaHost.swift	native-ios	M	M	CAPABILITY_MAPPED
mobile/ios/Fabushi/MarketplaceModel.swift	native-ios	M	M	CAPABILITY_MAPPED
mobile/ios/FabushiUITests/FabushiUITests.swift	native-ios	M	M	CAPABILITY_MAPPED
mobile/native/include/mahayana_app_host.h	native-mobile-ffi	M	M	CAPABILITY_MAPPED
third_party/mahayana/codex-rs/Cargo.toml	third-party-codex	M	M	CAPABILITY_MAPPED
third_party/mahayana/codex-rs/feedback/Cargo.toml	third-party-codex	M	M	CAPABILITY_MAPPED
third_party/mahayana/codex-rs/feedback/src/lib.rs	third-party-codex	M	M	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/Cargo.lock	mahayana-sovereign-runtime	M	M	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/Cargo.toml	mahayana-sovereign-runtime	M	M	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-agent-codex/Cargo.toml	mahayana-sovereign-runtime	M	M	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-agent-codex/src/implementation.rs	mahayana-sovereign-runtime	M	M	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-agent/src/lib.rs	mahayana-sovereign-runtime	M		CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-app-host-desktop/Cargo.toml	mahayana-sovereign-runtime	A	A	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-app-host-desktop/src/main.rs	mahayana-sovereign-runtime	A	A	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-app-host-mobile/Cargo.toml	mahayana-sovereign-runtime	A	A	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-app-host-mobile/src/lib.rs	mahayana-sovereign-runtime	A	A	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-app-host/Cargo.toml	mahayana-sovereign-runtime	M	M	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-app-host/src/lib.rs	mahayana-sovereign-runtime	M	M	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-cli/src/main.rs	mahayana-sovereign-runtime	M	M	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-cli/src/plugin_dev.rs	mahayana-sovereign-runtime	M	M	CAPABILITY_MAPPED
third_party/mahayana/mahayana-rs/mahayana-computer/src/lib.rs	computer-control	M	M	CAPABILITY_MAPPED
